"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT03","WT04","WT05","WT06","WT11"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-01","3.58"," 1232"," 1243","0.00",,,"50","59","41",,"  110","  110","0.0","10.1","10.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-02","2.91"," 0949"," 0952","0.00",,,"50","60","39",,"  100","  100","0.0","10.1","10.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-03","2.68"," 2313"," 2326","0.00",,,"49","57","41",,"   10","   10","0.0","10.1","10.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-04","3.58"," 0841"," 0839","0.00",,,"50","58","41",,"   10","   10","0.0","8.9","10.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-05","4.70"," 0843"," 0842","0.00",,,"50","60","40",,"  360","  360","0.0","15.0","17.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-06","3.13"," 2128"," 2132","0.00",,,"48","56","39",,"  280","  280","0.0","10.1","12.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-07","4.70"," 2349"," 2349","0.09",,,"51","58","43",,"  110","  110","0.0","17.0","19.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-08","14.54"," 1334"," 1450","0.35",,,"52","56","48",,"  270","  270","0.0","30.0","34.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-09","8.50"," 1236"," 1235","0.02",,,"48","52","44",,"   90","   90","0.0","21.9","23.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-10","16.78"," 1238"," 1239","0.96",,,"52","57","47",,"  150","  170","0.0","36.0","48.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-11","16.78"," 1227"," 1239","0.82",,,"48","51","45","    0","  100","  100","0.0","33.1","38.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-12","12.97"," 0541"," 0534","0.01",,,"51","54","47","    0","   10","   20","0.0","25.1","28.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-13","7.83"," 1502"," 1440","0.00",,,"52","55","48","    0","  240","  240","0.0","17.0","21.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-14","6.71"," 1519"," 1517","0.00",,,"49","54","43","    0","  260","  260","0.0","15.0","17.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-15","12.75"," 1333"," 1424","0.00",,,"49","56","42",,"  330","  330","0.0","25.1","29.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-16","10.51"," 0952"," 0952","0.00",,,"47","53","41",,"  340","  340","0.0","21.9","23.9",,,,,,
